17:20:00      45.2 psi          5000 ft       54 F
17:20:05      46.1 psi          8000 ft       52 F
17:20:10      47.8 psi          12000 ft      48 F
17:20:15      48.5 psi          15000 ft      45 F
17:20:20      48.2 psi          20000 ft      38 F
17:20:25      47.9 psi          25000 ft      32 F
17:20:30      43.5 psi          10000 ft      50 F
17:20:35      51.2 psi          18000 ft      42 F
17:20:40      48.9 psi          16000 ft      36 F
17:20:45      52.7 psi          22000 ft      40 F
17:20:50      45.8 psi          14000 ft      46 F
17:20:55      46.5 psi          12000 ft      48 F
17:21:00      45.7 psi          10000 ft      50 F
17:21:05      52.0 psi          20000 ft      34 F
17:21:10      53.6 psi          18000 ft      30 F
17:21:15      30.2 psi          16000 ft      34 F
17:21:20      55.5 psi          22000 ft      26 F
17:21:25      46.8 psi          20000 ft      28 F
17:21:30      44.3 psi          14000 ft      52 F
17:21:35      49.6 psi          18000 ft      44 F
17:21:40      46.7 psi          16000 ft      42 F
17:21:45      50.3 psi          22000 ft      36 F
17:21:50      48.0 psi          20000 ft      30 F
17:21:55      55.8 psi          21000 ft      28 F
17:22:00      47.2 psi          19000 ft      29 F
17:22:05      53.1 psi          12000 ft      38 F
17:22:10      49.8 psi          12000 ft      48 F
17:22:15      52.4 psi          16000 ft      40 F
17:22:20      45.6 psi          14000 ft      32 F
17:22:25      46.9 psi          12000 ft      35 F
17:22:30      50.7 psi          18000 ft      28 F
17:22:35      48.3 psi          9000 ft       42 F
17:22:40      52.2 psi          17000 ft      31 F
17:22:45      47.5 psi          19000 ft      29 F
17:22:50      48.6 psi          8000 ft       50 F
17:22:55      49.9 psi          11000 ft      38 F
17:23:00      50.5 psi          16000 ft      34 F
17:23:05      47.3 psi          7000 ft       46 F
17:23:10      45.1 psi          14000 ft      36 F
17:23:15      53.4 psi          21000 ft      28 F
17:23:20      47.8 psi          20000 ft      30 F
17:23:25      50.2 psi          18000 ft      32 F
17:23:30      46.7 psi          11000 ft      40 F
17:23:35      45.5 psi          8000 ft       44 F
17:23:40      49.3 psi          15000 ft      38 F
17:23:45      48.7 psi          17000 ft      35 F
17:23:50      51.8 psi          19000 ft      30 F
17:23:55      47.9 psi          12000 ft      34 F
17:24:00      50.4 psi          13000 ft      32 F
17:24:05      48.2 psi          16000 ft      36 F
17:24:10      46.6 psi          18000 ft      38 F
17:24:15      52.1 psi          10000 ft      40 F
17:24:20      45.3 psi          11000 ft      42 F
17:24:25      46.8 psi          12000 ft      44 F
17:24:30      49.5 psi          13000 ft      46 F
17:24:35      50.7 psi          14000 ft      48 F
17:24:40      48.9 psi          15000 ft      50 F
17:24:45      47.2 psi          16000 ft      52 F
17:24:50      51.1 psi          17000 ft      54 F
17:24:55      46.3 psi          18000 ft      56 F
17:25:00      48.8 psi          19000 ft      58 F
17:25:05      49.7 psi          20000 ft      60 F
17:25:10      47.5 psi          21000 ft      62 F
17:25:15      50.2 psi          22000 ft      64 F
17:25:20      46.9 psi          23000 ft      66 F
17:25:25      48.3 psi          24000 ft      68 F
17:25:30      49.5 psi          25000 ft      70 F
17:25:35      47.8 psi          26000 ft      72 F
17:25:40      50.1 psi          27000 ft      74 F
17:25:45      46.7 psi          28000 ft      76 F
17:25:50      48.9 psi          29000 ft      78 F
17:25:55      49.6 psi          30000 ft      80 F
